Year,Department,Salary_Cost,Equipment_Cost,Maintenance_Cost,Utilities_Cost,Miscellaneous_Cost,Total_Cost
2020,Civil,812373,409402,103154,62228,44089,1431246
2020,Electrical,893271,397211,128166,98419,78336,1595403
2021,Civil,780786,378514,91992,81377,59708,1392377
2019,Computer Science,894065,282977,114001,99229,67025,1457297
2022,Civil,866890,254983,94546,84927,78699,1380045
2022,Mechanical,665350,420981,121524,62822,78562,1349239
2019,Computer Science,781417,489494,148555,80070,40223,1539759
2019,Computer Science,840678,445552,81304,53187,79353,1500074
2019,Computer Science,622063,299029,129284,57135,52943,1160454
2020,Mechanical,717116,402401,90022,63508,51515,1324562
2020,Electrical,777043,372668,113617,83557,59619,1406504
2020,Civil,734670,417806,149498,84090,64132,1450196
2023,Computer Science,610564,292837,138824,96155,30751,1169131
2022,Computer Science,842124,455426,114307,89441,76005,1577303
2022,Computer Science,827506,457526,148480,89884,77476,1600872
2021,Electrical,686134,489026,102327,76067,70313,1423867
2020,Electrical,705940,367512,83244,68043,35344,1260083
2023,Mechanical,662085,316786,102720,80572,63973,1226136
2023,Electrical,617862,254758,105090,59507,39512,1076729
2022,Civil,872409,352667,144277,53062,66655,1489070
2020,Mechanical,740777,448771,128536,74700,64098,1456882
2021,Mechanical,786351,358119,87855,68454,38622,1339401
2020,Civil,662471,350157,81601,60868,67451,1222548
2019,Civil,691080,332673,111952,52553,48658,1236916
2020,Civil,708007,347639,130374,79553,66133,1331706
2019,Mechanical,646104,402904,85690,78511,47647,1260856
2019,Mechanical,640934,382940,92521,67428,50620,1234443
2021,Mechanical,854606,364869,88058,92747,67067,1467347
2022,Civil,606050,431737,93704,55957,33733,1221181
2020,Civil,775024,494944,138933,94495,59675,1563071
2019,Computer Science,870628,422934,123856,54578,31665,1503661
2020,Electrical,784750,269728,117256,88389,30860,1290983
2022,Computer Science,631323,353542,137352,84734,79996,1286947
2022,Civil,686332,343565,110615,60548,57618,1258678
2023,Mechanical,855540,420929,81927,71353,57916,1487665
2022,Civil,854547,409255,95512,96632,41681,1497627
2021,Electrical,872459,469393,88301,68634,46520,1545307
2019,Computer Science,757591,400012,148759,61679,52131,1420172
2023,Computer Science,871251,375019,143058,97743,52878,1539949
2021,Mechanical,655781,386352,144926,74717,41424,1303200
2020,Computer Science,866013,352548,103434,96935,68554,1487484
2019,Computer Science,607971,383236,110341,75579,56796,1233923
2022,Civil,854927,371289,95007,76730,39345,1437298
2019,Computer Science,887795,473796,106799,84782,57486,1610658
2020,Computer Science,623446,494525,135820,54624,52584,1360999
2023,Computer Science,857419,379068,95674,73103,56986,1462250
2023,Mechanical,769180,329624,95426,75544,41598,1311372
2023,Mechanical,603823,399477,124791,78534,38325,1244950
2022,Civil,744526,252821,83255,88636,48445,1217683
2021,Computer Science,735004,305090,113826,97394,67146,1318460
2021,Mechanical,805162,403588,84944,83572,73813,1451079
2019,Mechanical,667965,391545,117826,78560,33730,1289626
2022,Civil,872654,296454,110497,83435,41684,1404724
2023,Electrical,741609,423602,107723,83152,68890,1424976
2023,Computer Science,705935,354273,115287,94084,64563,1334142
2020,Mechanical,833705,458786,91845,69638,40041,1494015
2020,Civil,853978,354472,148106,86208,38187,1480951
2023,Civil,744854,473626,135569,66396,67608,1488053
2023,Civil,678004,463705,105463,90494,62624,1400290
2022,Mechanical,622072,460704,80744,93967,40919,1298406
2021,Computer Science,681015,486579,116282,76783,33726,1394385
2020,Electrical,825075,450153,132082,55403,61716,1524429
2021,Computer Science,820010,405870,134689,73838,63027,1497434
2022,Civil,672746,381935,144766,88919,31843,1320209
2023,Civil,776774,266148,145711,62359,43754,1294746
2021,Electrical,728259,336545,83217,97995,58853,1304869
2023,Computer Science,630916,304459,110359,72614,32280,1150628
2023,Civil,627268,464417,133509,60057,55531,1340782
2019,Civil,775050,334224,141970,50100,59788,1361132
2021,Computer Science,843966,316189,102357,78655,37796,1378963
2021,Civil,623259,389201,122354,54978,34567,1224359
2023,Computer Science,679400,341954,118570,92272,60211,1292407
2022,Civil,896437,273118,87034,60988,39300,1356877
2019,Computer Science,711581,381515,96263,64531,62150,1316040
2023,Electrical,607043,408113,122180,89302,31255,1257893
2020,Civil,781502,339379,130099,99601,61828,1412409
2020,Electrical,707009,271053,106925,61631,36462,1183080
2019,Civil,809137,346384,99575,61693,73200,1389989
2022,Civil,761940,484482,102231,85935,48042,1482630
2023,Mechanical,888453,418276,127731,88148,57560,1580168
2021,Computer Science,885428,367545,103100,63823,49032,1468928
2019,Electrical,713259,423312,90768,74696,77710,1379745
2022,Electrical,700804,482415,139337,61629,42150,1426335
2021,Electrical,669000,376675,130697,53856,33371,1263599
2020,Computer Science,684179,343749,91357,81051,49813,1250149
2020,Mechanical,891409,442174,146973,51075,37620,1569251
2021,Electrical,860226,389363,104946,98523,32932,1485990
2019,Computer Science,623880,489654,135149,70797,51470,1370950
2020,Civil,801264,266285,85566,93682,39778,1286575
2023,Electrical,772438,473494,121576,83469,53033,1504010
2021,Electrical,845352,311589,133318,86116,40304,1416679
2021,Mechanical,667396,263944,149550,58185,38119,1177194
2020,Electrical,879250,351041,131408,77841,77325,1516865
2019,Electrical,656731,338876,133506,56836,44407,1230356
2023,Civil,675010,345561,120167,96072,34983,1271793
2019,Computer Science,849091,304391,113699,74596,32521,1374298
2022,Computer Science,894743,251607,129545,93406,49086,1418387
2022,Mechanical,671326,252953,132429,72218,79170,1208096
2020,Civil,848876,294941,103386,85017,79111,1411331
2020,Computer Science,609004,452541,139273,60705,30783,1292306
2020,Civil,715018,457994,121585,69606,72666,1436869
2022,Computer Science,625792,311683,87509,71375,46798,1143157
2019,Civil,654645,494597,143305,92142,38555,1423244
2019,Mechanical,607232,451290,122851,76933,40767,1299073
2020,Electrical,654766,494229,114407,58118,31103,1352623
2023,Mechanical,720601,359588,126606,85319,35309,1327423
2019,Computer Science,681588,372080,125652,76649,63939,1319908
2022,Mechanical,779614,261154,90248,95318,38634,1264968
2021,Electrical,605913,375542,90515,52214,69176,1193360
2021,Mechanical,712406,390119,90830,58534,42135,1294024
2021,Computer Science,713693,338529,140631,99869,62044,1354766
2023,Computer Science,693449,456946,86799,85228,50945,1373367
2020,Mechanical,610567,264323,94328,94696,76478,1140392
2022,Electrical,638379,287693,92679,53255,69404,1141410
2023,Mechanical,806040,439802,101058,77841,32589,1457330
2022,Electrical,862463,339170,126696,55334,40031,1423694
2022,Civil,690005,407364,118872,62281,39695,1318217
2020,Electrical,823098,485159,134971,89598,45527,1578353
2021,Civil,604791,295111,103306,90522,35722,1129452
2020,Mechanical,731401,456525,108210,89708,76170,1462014
2023,Electrical,805459,456753,125693,80697,79874,1548476
2023,Civil,661032,476325,108239,60722,30841,1337159
2023,Civil,775150,289491,148917,86400,48731,1348689
2020,Civil,621300,299336,87447,66029,30645,1104757
2022,Computer Science,655609,266905,100271,50014,62116,1134915
2022,Mechanical,791634,280273,145875,94349,70983,1383114
2019,Civil,690045,375191,136843,96925,59402,1358406
2023,Electrical,867847,365936,106221,61506,79158,1480668
2022,Civil,823717,407306,144388,58208,61749,1495368
2019,Computer Science,819162,459957,136467,77157,66469,1559212
2022,Mechanical,627676,316538,123086,59971,43908,1171179
2023,Computer Science,820412,354570,80638,91040,72231,1418891
2021,Computer Science,776512,413645,142934,73183,75221,1481495
2023,Computer Science,767995,343339,146760,72963,42715,1373772
2020,Electrical,891946,371132,127234,85847,68398,1544557
2022,Mechanical,724786,445392,141049,58127,78670,1448024
2022,Mechanical,668147,378993,143843,91978,65324,1348285
2020,Electrical,622075,261330,128047,97782,49338,1158572
2020,Mechanical,805788,473112,89741,65646,37387,1471674
2021,Computer Science,609304,461588,143004,75355,53172,1342423
2022,Mechanical,729851,322553,141489,68208,56175,1318276
2022,Electrical,659622,422425,102991,72713,60795,1318546
2021,Computer Science,708654,397083,106081,82267,72626,1366711
2019,Electrical,849109,333537,137304,53864,76398,1450212
2021,Civil,886172,310985,95642,60661,67429,1420889
2023,Computer Science,639328,267044,97399,82559,33801,1120131
2022,Computer Science,889445,419364,113103,60322,37413,1519647
2020,Mechanical,818348,372304,95330,56710,74839,1417531
2023,Computer Science,636845,386322,96464,81362,47665,1248658
2022,Electrical,676394,486888,82134,82380,40856,1368652
2021,Mechanical,775231,273289,129409,91284,61100,1330313
2023,Civil,680722,283087,80184,64386,73855,1182234
2022,Electrical,887374,325952,129274,63338,38187,1444125
2019,Civil,692554,471767,135810,65316,55784,1421231
2019,Civil,649262,286368,149050,74463,79454,1238597
2020,Civil,641722,370648,112734,60203,43805,1229112
2022,Computer Science,771231,320815,130546,54888,71715,1349195
2019,Electrical,840740,340693,115120,78192,72186,1446931
2021,Electrical,687052,442112,128484,61325,37575,1356548
2022,Computer Science,700808,497527,140563,69088,72193,1480179
2021,Mechanical,855416,308900,135113,59386,68746,1427561
2021,Civil,862128,265494,133096,98413,77204,1436335
2019,Electrical,821281,366486,90133,89028,58093,1425021
2022,Computer Science,846052,426238,86405,61267,39089,1459051
2023,Civil,704697,472182,110269,81809,59454,1428411
2019,Mechanical,831572,406405,97085,65419,52474,1452955
2019,Mechanical,832842,283050,115702,75480,38154,1345228
2022,Civil,696299,347799,93502,95854,70951,1304405
2022,Mechanical,765746,381016,126479,52904,52064,1378209
2021,Electrical,749177,479147,94426,94260,57886,1474896
2022,Electrical,760811,460638,95860,83891,59398,1460598
2021,Electrical,763041,338257,126865,63430,66130,1357723
2019,Mechanical,614497,298070,127404,64999,73869,1178839
2020,Electrical,854204,255166,137423,73319,39646,1359758
2023,Computer Science,857471,388193,111152,70700,55391,1482907
2019,Electrical,692019,395749,110737,77633,58822,1334960
2022,Electrical,790326,437633,134325,69108,78523,1509915
2023,Mechanical,709017,477849,118767,90889,67872,1464394
2020,Electrical,818220,462981,121705,74055,51999,1528960
2020,Civil,705153,337409,82002,68642,39512,1232718
2021,Computer Science,633826,287664,140237,53646,59340,1174713
2023,Mechanical,710034,379926,135713,63173,46069,1334915
2021,Computer Science,684242,495890,121815,57025,79074,1438046
2019,Civil,650100,251293,144997,62549,79023,1187962
2023,Mechanical,821171,403515,140859,64853,34502,1464900
2019,Mechanical,612809,486333,143236,91757,62236,1396371
2021,Electrical,664450,299212,102743,79952,78020,1224377
2023,Computer Science,711126,465203,136739,61326,54007,1428401
2021,Civil,864237,325276,110339,53463,50971,1404286
2023,Civil,644498,262559,114121,77163,36037,1134378
2021,Mechanical,716251,315231,122995,82600,72060,1309137
2020,Electrical,640985,358277,132032,97156,57361,1285811
2021,Mechanical,894153,420116,129831,64075,44466,1552641
2020,Mechanical,617718,271747,121446,78709,63764,1153384
2021,Mechanical,878849,487528,125678,93315,60583,1645953
2023,Mechanical,662598,454581,100698,87709,39627,1345213
2023,Civil,874383,461941,127918,66010,51593,1581845
2023,Civil,646665,411201,137235,50897,50084,1296082
2022,Mechanical,894418,250037,86125,91012,53149,1374741
2019,Mechanical,746075,354294,127511,50605,67752,1346237
2023,Electrical,761938,347847,109046,86445,46737,1352013
2020,Mechanical,753060,353742,90114,87315,32318,1316549
2023,Civil,821516,298503,80637,58652,76471,1335779
2022,Computer Science,736746,278207,118634,99926,75487,1309000
2020,Civil,801610,490232,115776,82229,55314,1545161
2022,Electrical,666446,283241,103600,80530,65287,1199104
2020,Civil,629072,381130,106809,88024,60451,1265486
2021,Computer Science,633717,449244,103756,99101,35427,1321245
2019,Mechanical,818417,346171,139469,70414,67371,1441842
2019,Computer Science,757723,395906,118368,77903,54630,1404530
2022,Mechanical,709525,462185,91880,64730,63667,1391987
2019,Mechanical,813092,367302,137155,87924,56678,1462151
2022,Civil,604646,408262,145316,88541,55099,1301864
2022,Civil,775403,322832,88727,77898,61634,1326494
2022,Civil,884329,271383,119211,93654,46846,1415423
2019,Electrical,829728,492046,121417,65930,47885,1557006
2022,Civil,652107,374291,142827,53518,42068,1264811
2019,Electrical,844865,405732,111437,80982,47099,1490115
2022,Civil,879707,489101,100519,56775,68098,1594200
2023,Mechanical,670729,499557,87983,73990,57873,1390132
2022,Electrical,877845,252674,124656,55378,53558,1364111
2020,Computer Science,800144,364100,85635,96402,60518,1406799
2022,Electrical,815494,359369,99622,89441,39180,1403106
2021,Electrical,852615,272820,140666,56444,46595,1369140
2022,Computer Science,728331,466112,136005,64176,53740,1448364
2020,Electrical,760482,406738,91403,75060,57722,1391405
2020,Mechanical,699280,293794,140477,59379,79905,1272835
2019,Civil,789787,383148,145035,86495,78241,1482706
2023,Computer Science,638665,445926,112903,96993,33750,1328237
2022,Civil,878101,378544,87311,77568,41881,1463405
2019,Mechanical,859285,433414,130611,72765,49606,1545681
2023,Computer Science,763947,287555,100615,80802,46819,1279738
2022,Civil,713828,436280,136808,73196,56477,1416589
2021,Civil,732698,282406,113580,65468,58755,1252907
2022,Mechanical,690815,442644,137052,78849,55811,1405171
2020,Civil,794894,290262,122898,87113,67697,1362864
2020,Mechanical,803485,341320,103952,58174,77564,1384495
2021,Electrical,764714,499337,95227,95820,48344,1503442
2019,Mechanical,632356,467733,93760,69098,50656,1313603
2023,Electrical,865953,404288,88826,57046,56382,1472495
2022,Computer Science,897019,449189,140432,54186,61031,1601857
2020,Civil,841121,462208,138204,66722,35813,1544068
2019,Mechanical,871609,280284,88673,92621,31724,1364911
2021,Mechanical,797167,401243,116158,55968,31494,1402030
2020,Civil,796322,340627,95904,95224,48363,1376440
2021,Civil,615250,395405,95396,98266,51812,1256129
2022,Computer Science,646023,411607,134039,90452,50437,1332558
2023,Computer Science,701350,339023,84334,78270,71205,1274182
2020,Mechanical,777696,457012,107268,98311,60524,1500811
2020,Computer Science,616427,490542,144636,91129,37160,1379894
2022,Electrical,810084,414772,102068,89273,71343,1487540
2019,Computer Science,734511,464655,108247,56387,53593,1417393
2023,Computer Science,818403,291516,145121,74394,30284,1359718
2020,Mechanical,678672,265577,96285,61291,78083,1179908
2023,Electrical,617300,470906,104136,95574,67851,1355767
2020,Computer Science,619659,265015,140378,80093,50378,1155523
2023,Electrical,762475,341104,117787,52610,38491,1312467
2021,Electrical,845259,364412,104425,85241,30900,1430237
2020,Electrical,610360,341740,98961,78337,31459,1160857
2023,Civil,883568,478356,113443,85456,43680,1604503
2019,Civil,698035,472875,98823,54804,49305,1373842
2021,Civil,648791,402308,105852,84058,65301,1306310
2021,Civil,799867,479223,117535,60227,62692,1519544
2019,Mechanical,874444,316640,87004,81334,69347,1428769
2023,Computer Science,633370,333190,107823,56511,47189,1178083
2022,Civil,800903,379516,134086,90965,37595,1443065
2019,Mechanical,627209,426776,87131,91482,48612,1281210
2023,Computer Science,883071,423441,105649,89440,31921,1533522
2019,Civil,634579,384718,84099,69727,67740,1240863
2019,Computer Science,871176,337007,130806,99217,32387,1470593
2020,Civil,693254,406978,111571,81139,40730,1333672
2023,Mechanical,713528,467715,110580,69794,44830,1406447
2022,Electrical,823274,297728,106469,52981,64764,1345216
2020,Electrical,838292,264878,145179,62785,34825,1345959
2019,Computer Science,781026,497814,104236,64666,35282,1483024
2019,Mechanical,848342,378925,105110,85583,43869,1461829
2019,Electrical,819437,259145,103430,55096,45451,1282559
2023,Civil,878076,338578,124407,63950,62872,1467883
2023,Electrical,887858,268226,117948,56673,71398,1402103
2020,Computer Science,657803,252802,137367,51742,47905,1147619
2022,Computer Science,733624,274119,118180,88488,64119,1278530
2020,Mechanical,656627,313560,84652,86277,32698,1173814
2021,Computer Science,777059,307353,87084,95041,49996,1316533
2019,Electrical,645380,495741,125630,53534,46892,1367177
2019,Electrical,760322,473793,133276,64685,78068,1510144
2019,Electrical,799416,373001,82655,55136,68078,1378286
2020,Electrical,746367,443198,137752,55585,36190,1419092
2020,Mechanical,872667,321641,127670,77358,43166,1442502
2019,Civil,859125,301712,85272,58554,59689,1364352
2020,Civil,613769,433261,80218,94241,65590,1287079
2023,Mechanical,712035,438856,117471,51634,61604,1381600
2023,Computer Science,775717,380085,128762,66908,79215,1430687
2020,Civil,821815,318285,101515,71310,33921,1346846
2019,Computer Science,831832,365278,114307,65117,58991,1435525
2020,Civil,756629,497128,97986,51722,47243,1450708
2020,Computer Science,834799,424021,134888,58611,73787,1526106
2020,Mechanical,768157,415201,91603,53864,64315,1393140
2021,Electrical,744542,274512,148024,51067,62035,1280180
2023,Computer Science,718643,352077,108897,75976,64844,1320437
2022,Electrical,810154,460103,98802,89206,76730,1534995
2022,Computer Science,737877,444626,96411,57271,46820,1383005
2021,Computer Science,813396,252064,140399,94093,52469,1352421
2020,Computer Science,825956,345614,140692,61828,76676,1450766
2021,Computer Science,781844,432639,137676,96900,66425,1515484
2021,Computer Science,701422,367639,92770,81131,79914,1322876
2019,Electrical,868774,280011,117429,70386,30735,1367335
2023,Computer Science,877845,321152,139429,99781,37214,1475421
2022,Electrical,745931,454583,100337,96210,53968,1451029
2020,Mechanical,717556,260960,104507,51834,74624,1209481
2022,Civil,828495,474600,139596,97894,66862,1607447
2022,Computer Science,854809,371789,88436,52353,34728,1402115
2023,Civil,805384,308920,90086,63878,66497,1334765
2022,Electrical,615021,271387,99851,61132,37241,1084632
2022,Mechanical,800935,396396,119732,58203,47460,1422726
2021,Mechanical,804222,313960,94842,60322,40472,1313818
2023,Mechanical,664361,372994,81745,61295,64598,1244993
2019,Civil,872499,452851,92697,85925,72858,1576830
2020,Electrical,698841,282628,83879,72247,47057,1184652
2022,Computer Science,780076,371269,98499,92394,79700,1421938
2020,Computer Science,846300,456168,115035,67340,44432,1529275
2019,Electrical,760786,297452,98651,70242,63663,1290794
2020,Civil,617198,291098,117249,72522,48953,1147020
2019,Computer Science,858466,451531,103849,94594,47297,1555737
2021,Electrical,618740,420307,109076,62095,70041,1280259
2022,Computer Science,865954,336861,113124,96335,36696,1448970
2019,Mechanical,858308,277949,95787,90652,59347,1382043
2020,Computer Science,699855,403893,133462,73425,51249,1361884
2022,Civil,810192,452684,83841,84723,49657,1481097
2021,Electrical,888927,403104,124890,60204,52960,1530085
2022,Civil,721701,323537,105402,54991,77810,1283441
2019,Electrical,871615,396375,146201,81626,77668,1573485
2021,Mechanical,710771,366003,103237,86833,75202,1342046
2020,Electrical,606163,463065,122988,66067,47906,1306189
2021,Computer Science,616065,488051,80553,63763,70245,1318677
2021,Computer Science,841262,393375,93860,94863,32802,1456162
2023,Mechanical,848924,300701,87045,67408,65890,1369968
2021,Electrical,779420,300511,136435,75176,75550,1367092
2021,Mechanical,881298,330664,112261,85097,65224,1474544
2022,Computer Science,620229,399352,82853,98641,48033,1249108
2020,Civil,850470,289427,128022,85794,65088,1418801
2022,Mechanical,758069,347180,82736,74231,73465,1335681
2022,Civil,621101,353550,113724,51011,47527,1186913
2019,Civil,640391,388039,91440,73427,41964,1235261
2022,Electrical,806935,387733,110284,88392,71005,1464349
2023,Mechanical,672723,327952,91646,65229,49698,1207248
2023,Civil,826293,316046,94342,63244,34406,1334331
2019,Civil,790477,356918,145620,66602,59002,1418619
2020,Electrical,766020,285200,144261,94548,58682,1348711
2020,Electrical,890604,317442,81935,74462,37591,1402034
2022,Computer Science,797190,442743,122376,75302,33119,1470730
2022,Civil,779354,341070,122481,73536,51873,1368314
2022,Computer Science,691725,308168,135721,72210,66279,1274103
2020,Civil,812139,298322,82838,55585,66596,1315480
2021,Computer Science,685779,463056,115330,99130,46949,1410244
2023,Electrical,603060,418768,116994,96873,37651,1273346
2021,Mechanical,725806,320246,110384,67195,56896,1280527
2021,Electrical,875875,490916,125378,64837,61660,1618666
2020,Computer Science,715871,419964,112643,97161,71860,1417499
2021,Computer Science,620719,487213,96926,55456,40370,1300684
2019,Mechanical,649116,265583,118977,87289,74552,1195517
2022,Civil,626325,332720,103652,59775,65539,1188011
2019,Computer Science,614551,436287,143295,64099,36777,1295009
2023,Computer Science,886422,405925,90270,86805,30113,1499535
2022,Computer Science,615141,387181,141630,91842,30531,1266325
2021,Mechanical,895759,489285,116417,96754,39714,1637929
2023,Electrical,722058,309757,126894,66815,33410,1258934
2022,Computer Science,793823,256659,136042,62226,39236,1287986
2021,Mechanical,712684,251238,143253,80072,54608,1241855
2019,Computer Science,889596,371270,128841,59139,38324,1487170
2022,Civil,650391,369211,132723,80060,41159,1273544
2021,Mechanical,720288,265064,100317,94867,64494,1245030
2019,Computer Science,806132,412187,135008,59859,70985,1484171
2023,Mechanical,713535,413024,116434,93942,62107,1399042
2023,Computer Science,742770,386692,126125,52539,65416,1373542
2023,Electrical,839947,349790,80557,93073,61835,1425202
2023,Computer Science,686711,352985,124383,63199,75600,1302878
2020,Mechanical,864509,294258,86040,83158,39453,1367418
2022,Civil,828625,385542,126652,50082,64833,1455734
2022,Civil,643372,403075,140941,91736,57921,1337045
2020,Civil,644134,408643,106110,62281,30933,1252101
2021,Computer Science,899967,274668,85349,65120,61008,1386112
2021,Electrical,671158,327259,110374,59946,31050,1199787
2023,Computer Science,837159,362192,122591,60891,55392,1438225
2019,Civil,733021,346576,80057,69640,62177,1291471
2021,Mechanical,649396,355481,144578,76111,69884,1295450
2019,Civil,631912,361505,99121,88775,52851,1234164
2022,Mechanical,656947,413118,85493,83290,41106,1279954
2019,Electrical,644387,452049,147818,80604,36878,1361736
2022,Mechanical,878652,497600,81431,84462,30792,1572937
2020,Computer Science,709249,458327,140469,68636,41367,1418048
2020,Computer Science,601919,255397,142241,54837,68731,1123125
2023,Computer Science,740689,349925,125294,61801,39547,1317256
2021,Mechanical,633298,333481,91351,73710,64153,1195993
2023,Computer Science,837225,403305,112483,91237,58568,1502818
2022,Computer Science,833725,464408,111195,81621,72331,1563280
2023,Computer Science,876600,310308,102735,99299,54307,1443249
2019,Electrical,709599,450798,95203,90916,34138,1380654
2022,Mechanical,683721,444291,83974,63065,77112,1352163
2020,Mechanical,886384,484430,119713,95474,37693,1623694
2021,Civil,871372,251130,92636,78230,41394,1334762
2022,Mechanical,883830,374293,115070,86388,53876,1513457
2022,Electrical,611920,264071,109123,60631,69095,1114840
2019,Mechanical,607432,335517,111812,79828,33353,1167942
2021,Electrical,710507,360240,108760,59131,76132,1314770
2020,Electrical,824647,252118,84966,64307,45205,1271243
2022,Mechanical,764982,381735,96058,53709,34628,1331112
2022,Civil,721764,312408,121482,98754,59990,1314398
2019,Computer Science,761298,301786,82998,96683,68095,1310860
2023,Computer Science,804222,331271,141265,70721,57623,1405102
2020,Mechanical,712557,269158,146445,82194,77049,1287403
2021,Mechanical,618013,281087,114648,55094,51433,1120275
2022,Electrical,621446,338114,140623,59415,79220,1238818
2022,Mechanical,801447,434193,87527,98846,40058,1462071
2020,Electrical,702261,269874,83072,98244,56524,1209975
2023,Civil,862701,489139,92018,63530,42093,1549481
2022,Mechanical,768461,333443,109652,57472,46684,1315712
2020,Computer Science,778772,290821,84476,86131,58698,1298898
2019,Computer Science,730878,365675,107482,69407,78755,1352197
2023,Mechanical,699143,310582,142513,68201,48984,1269423
2021,Electrical,624578,372603,96219,77948,44907,1216255
2022,Computer Science,674779,403859,110448,96908,42921,1328915
2020,Electrical,740668,445775,105120,99835,50402,1441800
2019,Mechanical,672534,402777,86855,73115,76794,1312075
2021,Mechanical,872273,319381,136553,77961,33082,1439250
2020,Computer Science,797118,361800,148633,97083,37074,1441708
2020,Mechanical,873740,485677,124585,97182,59330,1640514
2021,Civil,665355,380805,81084,52017,47623,1226884
2019,Civil,612974,425725,101944,54223,73328,1268194
2019,Computer Science,797745,332018,113921,84952,30459,1359095
2023,Civil,851366,350592,141282,73075,32801,1449116
2022,Electrical,674442,341626,131397,56531,58831,1262827
2021,Computer Science,752890,336217,98070,54666,46847,1288690
2021,Computer Science,655598,413324,134987,73781,30997,1308687
2021,Electrical,733726,454404,136690,94023,52025,1470868
2019,Civil,633758,322799,141134,85236,62379,1245306
2022,Civil,886348,312185,139439,90059,36384,1464415
2023,Civil,727309,459385,111489,90023,43223,1431429
2020,Computer Science,766000,291538,103178,86688,78067,1325471
2020,Computer Science,784681,270343,137956,54236,41198,1288414
2021,Civil,630552,486761,127802,51939,64446,1361500
2022,Mechanical,747278,461470,142778,86624,63632,1501782
2019,Civil,634831,422304,137719,82818,39382,1317054
2022,Electrical,643563,370026,113573,65926,54120,1247208
2022,Computer Science,618361,484257,113688,77552,65465,1359323
2019,Electrical,674469,303106,126475,80100,56950,1241100
2021,Electrical,625816,364322,130697,51360,74875,1247070
2022,Computer Science,857422,331227,113978,89573,59968,1452168
2020,Mechanical,746691,434151,109677,94696,32926,1418141
2019,Civil,834295,406100,90272,61994,45735,1438396
2023,Electrical,692479,292135,86212,74941,44223,1189990
2021,Computer Science,626819,412138,101071,77531,70310,1287869
2019,Electrical,608798,369599,97297,85813,67197,1228704
2023,Civil,756215,479789,131932,61093,45362,1474391
2023,Mechanical,843942,333470,136884,83025,76699,1474020
2022,Mechanical,830259,270910,108625,61651,69986,1341431
2022,Mechanical,729544,494090,108831,82812,53409,1468686
2022,Computer Science,752254,388213,136478,74844,32397,1384186
2019,Computer Science,853800,295950,142909,67718,44451,1404828
2019,Mechanical,609415,436795,109367,99823,35814,1291214
2021,Civil,687638,266225,125813,98122,52888,1230686
2022,Civil,618452,481322,100121,63589,37522,1301006
2023,Computer Science,795457,468195,115547,89768,52169,1521136
2020,Mechanical,710205,282959,143642,70022,50382,1257210
2021,Civil,618170,299192,104914,97248,45588,1165112
2019,Civil,616259,329711,97178,88853,75127,1207128
2021,Civil,884243,391123,147258,50234,45762,1518620
2021,Computer Science,740721,452500,140563,56834,45577,1436195
2021,Mechanical,729394,253449,130050,65055,50931,1228879
2021,Electrical,772109,422167,142607,53207,39970,1430060
2020,Mechanical,873949,354213,145638,52400,69278,1495478
2022,Mechanical,854599,459001,93262,59609,50045,1516516
2023,Computer Science,643147,410262,87453,71473,77773,1290108
2021,Civil,674280,350245,125174,95330,45919,1290948
2021,Civil,777125,347069,86172,73935,74329,1358630
2021,Computer Science,697841,407213,97918,73874,57671,1334517
2022,Computer Science,724726,483597,87197,90508,40349,1426377
2019,Computer Science,676215,273908,93677,75015,79203,1198018
2019,Computer Science,712909,354847,91039,64184,36058,1259037
2020,Computer Science,873129,370910,107785,96806,74321,1522951
2019,Electrical,874535,413394,84570,79543,33515,1485557
2021,Mechanical,604861,431782,91655,50650,33330,1212278
2021,Mechanical,861968,264012,127907,82389,64442,1400718
2021,Mechanical,783000,415961,89449,99185,73825,1461420
2020,Civil,896508,267412,104630,77328,47745,1393623
2021,Electrical,849072,477222,126371,69416,38978,1561059
2019,Mechanical,824402,360030,90991,63119,46939,1385481
2022,Civil,642923,274657,104887,57644,45264,1125375
2022,Electrical,786968,255656,93859,58653,56615,1251751
2023,Electrical,765912,390039,103640,64416,62165,1386172
2019,Civil,773327,466030,128339,74897,77362,1519955
2021,Electrical,728165,396836,133235,51874,72722,1382832
2022,Civil,830314,265873,82512,60429,64880,1304008
2019,Mechanical,895673,344485,101912,62213,48594,1452877
2022,Civil,744013,359383,115515,98987,45523,1363421
2021,Electrical,601669,432102,95416,67640,31701,1228528
2022,Mechanical,816854,448879,123746,86008,62758,1538245
2023,Mechanical,655786,251607,123775,65802,65480,1162450
2023,Computer Science,782155,400595,92227,66122,56983,1398082
2022,Computer Science,620323,298447,93031,71653,65084,1148538
2019,Electrical,830502,299757,113000,93671,77427,1414357
2019,Civil,857249,474598,131253,74101,69237,1606438
2019,Civil,606021,319201,147564,51409,64378,1188573
2022,Electrical,713415,378765,98313,93388,50736,1334617
2019,Mechanical,870855,462916,137751,84600,36343,1592465
2021,Electrical,607904,452460,132492,68408,45797,1307061
2023,Electrical,664033,255462,110364,55736,72087,1157682
2021,Mechanical,831659,366832,98361,54993,51875,1403720
2019,Civil,720035,412867,147949,93871,71864,1446586
2021,Electrical,820859,450878,111070,97165,71123,1551095
2019,Civil,786168,298465,102409,81247,39328,1307617
2022,Electrical,821666,442181,109854,78821,67478,1520000
